language,number_occurrences,translations_freq
ktb,18,"{'ጪአት': 5, 'ጪአተ': 3, 'ጪአቲ': 2, 'ጪአ': 2, 'ጪአንት': 1, 'ኤሎ': 1, 'አባከተበእንዶ': 1, 'ሀማንተሴ': 1, 'እኮእ': 1}"
ktj,18,{'nʋblɩ': 17}
ktm,26,"{'nenka-an': 19, 'ihnan': 1, 'indretungi': 1}"
kto,18,"{'kobengip': 17, 'nganeip': 1}"
ktu,18,{'bandeke': 17}
kua,135,"{'needila': 31, 'eedila': 30, 'odila': 12, 'keedila': 7, 'nomeedila': 3, 'deedila': 3, 'okadila': 3, 'nomavava': 2, 'nokeedila': 2, 'meedila': 2, 'nodila': 2, 'dokoshi': 2, 'namusheshe': 2, 'hadi': 2, 'lomeedila': 1, 'yeedila': 1, 'noyeedila': 1, 'yodila': 1, 'naadi': 1, 'keendjadja': 1, 'lokuya': 1, 'nokadila': 1, 'tuu': 1, 'okukwena': 1, 'nongaashi': 1, 'onhwa': 1, 'tuka': 1, 'oudila': 1, 'nodeedila': 1, 'noikwamavava': 1, 'ngeenge': 1, 'dokeulu': 1, 'feenyala': 1, 'noloinamwenyo': 1, 'doudila': 1, 'noweedila': 1, 'tondwa': 1}"
kub,18,"{'ínung': 15, 'ánung': 2, 'akwēn': 1}"
kud,18,"{'lowolowo': 16, 'ꞌaoꞌao': 1, 'hivedalavaenaꞌo': 1}"
kue,18,"{'kua': 15, 'are': 2, 'endumara': 1}"
kum,46,"{'къушлар': 14, 'къушланы': 13, 'къушлагъа': 5, 'айланагъан': 2, 'къуш': 2, 'гьайванланы': 2, 'тюрлю': 1, 'жанлардан': 1, 'къушну': 1, 'учуп': 1, 'пырыллагъан': 1, 'артыкъсыз': 1}"
kup,18,"{'id': 4, 'emat': 3, 'idehol': 2, 'parum': 2, 'ideholoz': 2, 'ravamahan': 1, 'narir': 1, 'emahol': 1, 'nenar': 1, 'mapoam': 1}"
kus,18,"{'niis': 15, ""ian'ad"": 1, 'bee': 1}"
kvj,18,"{""'yɛ"": 9, 'kezlə': 6, 'kapa': 1, 'nyi': 1, 'ndiremi': 1}"
kvn,18,"{'chikwimal': 10, 'immal-yarmakal-naneed': 1, 'tule-keg-chulgu-purkoed': 1, 'chikwi-chanmal': 1, 'pesbal': 1, 'mulamal-pel-kwapa': 1}"
kwd,18,"{'langasi': 14, 'lofo': 2, ""launge'enia"": 1, ""'ubulai"": 1}"
kwf,18,"{""no'o"": 16, 'lofo': 2}"
kwi,18,"{'chitchukas': 6, 'chitchuruzne': 2, 'chitchu': 2, 'chitchune': 2, 'i': 1, 'saat': 1, 'chitchurakas': 1, 'chikuyukas': 1, 'chiyu': 1, 'pɨlturuzne': 1}"
kwj,18,"{'le': 7, 'apwe': 7, 'woto': 1, 'sikani': 1, 'hangatanda': 1}"
kxc,18,"{'ኸምፕረ': 12, 'ኸምፕረከ': 5, 'ፕለየ': 1}"
kxm,18,"{'เฮฺิร': 8, 'ซัด': 8, 'เจฺอะ': 2}"
kxw,18,"{'sio': 8, 'haguasie': 3, 'timo͡u': 2, 'duguma': 1, 'dalaguamo͡u': 1}"
kyc,18,"{'yaka': 14, 'bii': 2, 'peparaepe': 1, 'palami-nyiko': 1}"
kyf,18,"{""'zianya"": 10, 'zia': 3, ""'zia"": 2, 'blublunɩma': 1, 'dlɩɩnɔnʋ': 1}"
kyg,26,"{'nama': 3, ""anaga'mo"": 2, ""anaga'aife'mo"": 2, ""anaga'mogi"": 2, ""haleli'e'a"": 2, 'namagana': 1, 'nekiye': 1, 'havaesiya': 1, ""akopa'amo"": 1, 'namamogi': 1, ""hapae'nige'a"": 1}"
kyq,18,"{'yeelge': 12, 'bɔɔy': 2, 'yeelgen': 2, 'ƴɛɛm': 1}"
kyu,18,"{'ထၳၤဖၳဇှၲုဖၳ': 8, 'ထၳၤ': 6, 'ဇှၲုၤ': 2, 'ထၳၤဖၳ': 1}"
kyz,18,"{""wyra'i"": 4, ""ma'e"": 4, ""wyra'ia"": 3, ""o'ywuuramũ"": 1, ""piraa'yra"": 1}"
kze,18,"{'kwaási': 4, 'túkúnasukaiye': 2, 'aúrankaꞌa': 1, 'kwégwaivo': 1, 'ánáamba': 1, 'kunkwáyáísasa': 1, 'numaómá': 1, 'úmarena': 1, 'putásowana': 1}"
kzf,14,"{'tonji-tonji': 8, 'tonji': 5, 'mpotonji': 1}"
lac,18,"{""ch'ich'"": 8, ""ch'ich'o'"": 6, ""xic'"": 2, ""necoji'"": 1, 'iraj': 1}"
lai,18,"{'viyuni': 5, 'iviyuni': 4, 'vikiza': 3, 'utuyuni': 2, 'izyakuti': 1, 'akufwa': 1, 'chiyuni': 1, 'ivilwani': 1}"
laj,18,"{'winy': 8, 'winyi': 8, 'winnyi': 1, 'kwero': 1}"
lam,18,"{'nefyuni': 10, 'ifyuni': 3, 'napafyuni': 1, 'wafyuni': 1, 'ifipalala': 1}"
lao,18,"{'ນົກ': 15, 'ບິນ': 1, 'ຂອງ^ນົກ': 1, 'ຊະນິດ': 1}"
las,18,"{""n'asimasi"": 10, 'asimasi': 5, 'remna': 1, 'tuna': 1, 'recɛtenɖe': 1}"
lat,135,"{'volucres': 22, 'volatilibus': 13, 'volatilia': 12, 'avis': 10, 'aves': 9, 'avibus': 7, 'volucribus': 6, 'volucrum': 5, 'volatile': 4, 'avem': 4, 'passer': 4, 'volucre': 4, 'passeres': 3, 'passerem': 3, 'avesque': 2, 'volucris': 2, 'feris': 2, 'volucri': 1, 'passeribus': 1, 'alium': 1, 'passere': 1, 'passeris': 1, 'avium': 1, 'est': 1, 'exceptis': 1, 'circumdatus': 1, 'avi': 1, 'volant': 1, 'humillimum': 1, 'volucrem': 1, 'illis': 1}"
lav,18,"{'putni': 6, 'apakš': 5, 'putniem': 3, 'putnu': 2, 'zem': 1, 'mitekli': 1}"
lbb,2,{'manila': 2}
lbj,17,"{'བྱ༌': 6, 'ཚངས༌': 3, 'བྱ༌གུན༌ལ༌': 2, 'བྱི༌པ༌': 2, 'བྱི༌པ༌གུན༌': 1, 'སིལ༌ལི༌': 1, 'རིན༌': 1}"
lbk,42,"{'entat-ayaw': 19, 'ay-ayam': 14, 'ilan': 2, 'masibfan': 1, 'payakcha': 1, 'nen-epas': 1}"
lcm,42,"{'mani': 40, 'kimepo': 1}"
ldi,18,"{'nuni': 12, 'banuni': 4, 'nûni': 1, 'luniâtu': 1}"
lee,18,"{'kúmsi': 12, 'kúmsí': 2, 'kúmdí': 2, 'vwǎm': 1}"
lef,18,{'baasɛ': 18}
leh,135,"{'bayuni': 56, 'abayuni': 19, 'muyuni': 10, 'nkayuni': 6, 'bauluka': 2, 'ulaakulikwa': 2, 'kayuni': 2, 'mbayuni': 2, 'tuyuni': 2, 'shiyuni': 2, 'nyamuna': 1, 'makubi': 1, 'wakutenta': 1, 'akushisumpa': 1, 'shuuluka': 1, 'ankuuku': 1, 'mweepusha': 1, 'ncewateyelwa': 1, 'cikupwi': 1, 'ngumuyuni': 1, 'twapanga': 1, 'ncoonaamo': 1, 'babayuni': 1, 'mbwaalelemba': 1, 'ulaakwisa': 1, 'cipepuluka': 1, 'cinsangala': 1, 'bakamana': 1, 'banyama': 1, 'ndaakukusandula': 1, 'ngamaala': 1, 'mupalu': 1, 'mumisampi': 1, 'booluka': 1}"
lem,18,{'tunonyí': 18}
leu,18,"{'maanu': 15, 'fafaalis': 1, 'nai': 1}"
lew,18,"{'tonji-tonji': 8, 'tonji': 8, 'niteosi': 1, 'manusia': 1}"
lex,42,"{""onu-ma'nu"": 25, 'hamormiori': 2, 'rapuon': 2, 'iha': 2, 'rhoi-rtania': 1, 'rtotna': 1, 'rma': 1, ""ma'nu"": 1, ""atia'"": 1}"
lgm,18,"{'tuzoni': 16, 'u': 1, 'tuasombua': 1}"
lhi,18,"{'ngaz': 16, 'iar': 1, 'pa': 1}"
lhm,18,"{'tɕhatɕuŋma': 10, 'tɕha': 5, ""'namki"": 3}"
lhu,18,"{'ngaˆ': 17, 'hpaˍ': 1}"
lia,18,"{'bɛtiŋ': 16, 'bibɔlɔkɔy': 1}"
lid,42,"{'sirih': 37, 'ndrateheyan': 1, 'manyuwe': 1, 'rewa': 1}"
lif,18,"{'पुसाहाॽ': 4, 'पुहाॽ': 2, 'हाप्': 2, 'पुसाहाॽरे़': 1, 'कुबोराःक्': 1, 'मे़द्\u200cये़आङ्': 1, 'लुङ्\u200cसाबा': 1, 'मे़जोगुॽरो': 1, 'साहाॽ': 1, 'पुसा': 1, 'याङ्\u200cमे़धोःक्': 1, 'के़बे़बार': 1, 'किथहाॽरे़': 1}"
lin,135,"{'epumbwaka': 47, 'bandɛkɛ': 45, 'ndɛkɛ': 30, 'mapapu': 6, 'kopumbwa': 1, 'epumbwe': 1}"
lip,18,{'baklɔbɛ': 18}
lit,135,"{'padangių': 42, 'paukščiai': 24, 'paukščių': 13, 'paukščius': 11, 'paukštį': 9, 'paukštis': 9, 'žvirblis': 2, 'galvijais': 1, 'gyvulių': 1, 'tekantis': 1, 'skraidantį': 1, 'sparnuočius': 1, 'paukščiųjie': 1, 'patekai': 1, 'paukščiu': 1, 'sparnuotais': 1, 'sparnuoti': 1, 'lizdo': 1, 'kurie': 1, 'sudraskytų': 1, 'paukščio': 1, 'narvu': 1}"
ljp,18,"{'burung': 9, 'burung-burung': 8, 'dinyuohko': 1}"
lmk,18,"{'puwa': 17, 'mdit': 1}"
lmp,18,"{'bsiñ': 17, 'siñ': 1}"
lob,18,"{""'lominə"": 13, ""'lominəəda"": 2, 'puuloneni': 1, 'caarsɔ': 1, 'wɔ̃': 1}"
lol,18,"{'tofulu': 15, 't’aliko': 1, 'towawa': 1, 'jino': 1}"
lom,18,"{'wɛ̃niitiɛ': 12, 'wɛ̃nia': 3, 'wɛ̃nii': 1, 'bɛlɛ': 1}"
loq,10,"{'manyɔsi': 5, 'maesi': 2, 'mamotonga': 1, 'mambuli': 1, 'biwawanga': 1}"
loz,135,"{'linyunywani': 84, 'nyunywani': 23, 'manoñu': 4, 'linoñu': 2, 'mifuta': 1, 'talusize': 1, 'sa': 1, 'likokwani': 1, 'likuhu': 1, 'nihali': 1, 'misima': 1, 'utiwa': 1, 'tutaha': 1, 'siyelwa': 1, 'mafufa': 1, 'fefuka': 1, 'ngonga': 1}"
lsi,18,"{'joem': 12, 'zoo:': 2, 'soid': 1, ""ngho'"": 1, 'do:': 1, 'jang:': 1}"
lsm,18,"{'amayoni': 13, 'mayoni': 3, ""y'amayoni"": 1, 'kamumenyeremo': 1}"
lug,18,"{'bbanga': 4, 'nʼennyonyi': 3, 'zijja': 2, 'ennyonyi': 2, 'ezʼomu': 1, 'nʼebinyonyi': 1, 'nʼekyʼebinyonyi': 1, 'ogwʼennyonyi': 1, 'nʼebyʼomu': 1, 'ebyakyayibwa': 1}"
luo,30,"{'winy': 13, 'mahuyo': 5, 'kor': 4, 'winyo': 3, 'nying': 1, 'chieth': 1, 'makuero': 1, 'huyo': 1}"
lus,17,"{'savate': 8, 'sava': 5, 'tlân': 2, 'savaten': 1, 'chi': 1}"
lwo,18,"{'winy': 11, 'winye': 4, 'paahr': 1, 'kihde': 1}"
lww,18,"{'manu': 15, 'tata': 1, 'ea': 1, 'akan': 1}"
lzh,18,{'蓋凡禽獸昆蟲鱗介皆可制、且已為人制、': 1}
maa,18,"{'ni̱se': 11, 'cho̱': 4, 'a̱jin': 1, ""'tse̱n"": 1, 'chine': 1}"
mad,18,"{""mano'"": 10, ""no'-mano'"": 7, 'banneyan': 1}"
maf,18,"{'ƌiakihi': 12, 'ƌiakihai': 3, 'diakihai': 2, 'diakihi': 1}"
mah,135,"{'bao': 124, 'sparro': 3, 'mejatoto': 2, 'allok': 1, 'kāke': 1}"
mai,18,"{'चिड़ै': 15, 'चिड़ै-चुनमुन': 1, 'पशु-पक्षी': 1, 'अखाढ़ा': 1}"
maj,18,"{'ni̱see̱': 12, 'ni̱se': 2, ""b'ematje̱n"": 2, ""n'ent'é"": 1, 'uncha': 1}"
mak,18,"{'jangang-janganga': 12, 'jangang-jangang': 4, 'taua': 1}"
mal,18,"{'aakashattile': 7, 'parravakall': 3, 'vishekshatayullallavar': 1, 'ijhyajatikalleyum': 1, 'myngallude': 1, 'pakshi': 1, 'tadavumayittiinur': 1, 'mamsam': 1}"
mam,135,"{""chyu'j"": 87, 'lipan': 14, ""c'utz"": 10, 'jil': 3, 'txkantl': 2, ""k'anjan"": 2, 'ncwent': 1, ""tz'unin"": 1, ""cycya'"": 1, ""cychi'"": 1, ""t-xpac'il"": 1, 'joj': 1, 'ke': 1}"
maq,18,"{'nisë': 10, 'chu': 7, 'vitjen': 1}"
mar,18,"{'पक्षी': 4, 'पक्ष्यांनी': 3, 'पाखरे': 2, 'पक्ष्यांना': 2, 'आकाशातील': 1, 'पक्ष्यांचे': 1, 'जीवजंतु': 1, 'धिक्कारलेल्या': 1}"
mau,18,"{'se³': 11, 'tjen⁴': 3, 'si¹': 1, 'se³-ve⁴': 1, 'fi²': 1, 'ˀya³-le⁴': 1}"
mav,18,"{'weitaria': 11, ""ko'i"": 3, 'weita': 1, ""i'atu'ok"": 1}"
maw,18,"{'niinsi': 15, 'bunyigra': 1, 'bunvuura': 1, 'bunseesi': 1}"
maz,18,"{""s'ü"": 12, ""dyät'äji"": 2, 'juaja': 2, 'ndoparü': 2}"
mbb,18,"{'tagbis': 17, 'uwak': 1}"
mbc,18,"{""toronyamî'"": 9, ""toronyamî'ya"": 4, 'toron': 2, 'yenpo': 1, ""tî'moikon"": 1, 'yentainokon': 1}"
mbd,18,"{'manuk-manuk': 17, 'minanuk-manuk': 1}"
mbf,18,"{'burong-burong': 16, 'jel': 1, 'burong': 1}"
mbh,18,"{'menre': 12, 'men': 5, 'ring': 1}"
mbi,18,"{'pepenuk': 15, 'uwak': 1}"
mbj,17,"{""taw'ëëd"": 7, 'rabajóh': 3, 'batooj': 3, 'maag': 2, ""har'ëëng"": 2}"
mbl,18,"{'putuxnãg': 14, 'putux': 2, ""mũg'ax"": 1}"
mbs,42,"{'manok': 33, 'kebenesan': 4}"
mbt,18,"{'manuk-manuk': 17, 'egmandul-ug': 1}"
mca,18,{'junatai': 18}
mcb,18,"{'aragetatsirira': 6, 'tsimeri': 2, 'otsegororoitanake': 2, 'ikañoigaka': 1, 'okañotanaaro': 1, 'iparigashiigakero': 1, 'kapankiripage': 1, 'timaagetatsirira': 1, 'ipinkagetaganirira': 1, 'ivatsapage': 1}"
mcd,18,"{'puiyafori': 4, 'puiyafo': 4, 'piinifo': 2, 'tushpahuu': 1, 'cuscarafono': 1, 'futsatapafo': 1}"
mcf,18,"{'uicchun': 3, 'podochoquidën': 2, 'icshobi': 1, 'chec': 1, 'podochoquidbimboecnuc': 1, 'abipadquidpenquio': 1, 'edeste': 1, 'nibëdamendac': 1}"
mck,135,"{'tuzila': 83, 'kazila': 24, 'mashwa': 4, 'vakamulya': 3, 'ndemba': 1, 'tuwisa': 1, 'makuvi': 1, 'kwenyeka': 1, 'ca': 1, 'mambava': 1, 'tusumbi': 1, 'wamona': 1, 'wakupulula': 1, 'tunzilili': 1, 'ajangumuna': 1, 'akukukwavula': 1, 'alinakupekumuka': 1, 'vapululwile': 1, 'vyala': 1}"
mcn,135,"{'layayn': 59, 'layayna': 21, 'layta': 10, 'layay': 9, 'lay': 6, 'layna': 5, 'irina': 4, 'kot': 1, 'wulini': 1, 'laya': 1, 'bag-ziyd': 1, 'slewaŋawa': 1, 'colgona': 1, 'fok': 1, 'maɗayna': 1, 'kulo-jamna': 1, ""voka'"": 1, 'layn': 1, 'pir': 1, 'layt': 1, 'kir': 1}"
mco,18,"{'joon': 13, 'queec-huɨdijtp': 3, ""y'oyjäygɨdaacnɨty"": 1}"
mcp,18,"{'inunú': 12, 'ínunú': 3, 'íŋkwɔlɔ́ŋkwɔ': 1, 'júlə́': 1, 'cínɔŋg': 1}"
mcq,18,"{'uka': 12, 'ukapo': 6}"
mcu,18,"{'non': 14, 'tieé': 1, 'fulu': 1, 'noòn': 1, 'o': 1}"
mda,18,"{'nywɛ̂ncɛ': 13, 'kpūkpɔ̀mkpan': 2, 'lə̄ngā': 1, 'zə': 1}"
mdy,18,"{'ካፓ': 4, 'ማኣሪ': 2, 'ማዓኔ': 2, 'ካፒያ': 2, 'ሂንዳ': 1, 'ካፒያኣ': 1, 'ዓሲንታ': 1, 'ማላያኬ': 1, 'ዼኤፖንታ': 1, 'ካፖም': 1}"
med,18,"{'kᵾi': 9, 'mbᵾ': 4, 'rakra': 2, 'kui': 1}"
mee,18,"{'lolo': 10, 'manume': 5, 'manu': 1, 'sosoali': 1, 'loreanganame': 1}"
mej,18,"{'mem': 8, 'ofoukou': 5, 'ofu': 1, 'rin': 1, 'rusa': 1, 'efekeifa': 1, 'insa': 1}"
mek,18,"{""inei'i"": 8, 'inei': 7, ""ine'i"": 1, 'kegopo': 1}"
men,18,"{'ŋɔningɛisia': 16, 'ŋɔingɛisia': 1, 'ŋɔningaa': 1}"
meq,18,"{'ɗiyeŋ': 12, 'hay': 6}"
meu,135,"{'manu': 52, 'manudia': 46, 'atai': 10, 'roho': 6, 'manuna': 4, 'galo': 1, 'hanidia': 1, 'kokoroku': 1, ',': 1, 'bisini': 1, 'manua': 1, 'rohomu': 1}"
mfe,18,"{'zwazo': 17, 'degoutan': 1}"
mfh,18,"{'azlaɗiyaŋ': 6, 'tahoyay': 3, 'azlakolaŋ': 3, 'tasaha': 2, 'mahoyay': 2, 'taɗahàŋ': 1}"
mfi,18,"{'ƴiye-aha': 15, 'jakurma': 1, 'dabba': 1, 'ƴiye': 1}"
mfk,18,"{'ɗiyeŋ': 14, 'tsəvey': 2, 'mamba': 2}"
mfq,18,"{'nuɑni': 13, 'kinkɑɑt': 1, 'wɑi': 1, 'lenŋ': 1}"
mfy,18,"{'huikichim': 11, 'huikíchim': 2, 'huikichi': 1, 'náikim': 1, 'ím': 1, 'tosatela': 1}"
mfz,18,"{'ḍiirg': 7, 'peyi': 4, 'ḍiirgo': 4, 'ywobk': 1, 'may': 1, 'wɛjjin': 1}"
mgc,9,"{'ali': 5, 'aliye': 3, ""möku'e"": 1}"
mgh,27,"{'asaanuni': 13, 'inuni': 6, 'asanuni': 3, 'iriyariru': 1, 'othene': 1, 'inaka': 1, 'yaanaawa': 1, 'coovava': 1}"
mhi,18,"{'arinzi': 17, 'iza': 1}"
mhl,18,"{'nepa': 10, 'nepa-ke': 6, 'ikomakek': 1}"
mhr,18,"{'кайык-влак': 5, 'кайык-влакын': 2, 'чоҥештен': 2, 'кайыкын': 2, 'кунаре': 1, 'кавасе': 1, 'кайык-влакым': 1, 'шыде': 1, 'каваште': 1}"
mhx,18,"{'jham': 8, ""ngho'"": 7, 'jham:': 3}"
mhy,18,{'wurung': 18}
mib,18,"{'saa': 12, 'quɨtɨ': 5, 'quíni': 1}"
mic,18,"{'sisipg': 8, ""sisipji'jg"": 6, ""jipji'jg"": 3, 'sisipa': 1}"
mie,18,"{'saā': 12, 'quiti': 5, 'táchī': 1}"
mif,18,"{'ɗiyaŋ': 11, 'hay': 7}"
mig,18,"{'tɨsaa̱': 12, 'tɨ́saa̱': 4, 'kɨ́tɨ‑ún': 1, ""u'u̱‑yo̱‑tɨ́"": 1}"
mih,18,"{'zaa': 17, 'quiñi': 1}"
mil,18,"{'ndàva': 8, 'ndava': 4, 'cádǔha‑güedɨ': 2, 'xiní': 2, 'caa': 1}"
min,18,"{'unggeh': 7, 'buruang': 6, 'buruang-buruang': 4}"
mio,18,"{'saa': 13, 'ri': 2, 'ndumasu': 1, 'sacaquini': 1}"
miq,135,"{'tnawira': 88, 'piawira': 20, 'pâli': 4, 'daiwan': 2, 'yakal': 2, 'tauki': 2, 'tininiska': 2, 'iskri': 1, 'dipara': 1, 'pât': 1, 'usus': 1, 'paiwri': 1, 'yabamna': 1, 'asmala': 1, 'wail': 1}"
mir,18,"{'muuxyhajxy': 8, 'muuxy': 3, 'luudhajxy': 2, 'tsahṉ̃dy': 1, ""ho'ogy"": 1, 'caa': 1, 'jäyøøbiä': 1}"
mit,18,"{'laa': 9, 'ndavá': 7, 'saxì‑sítê': 1}"
miy,18,"{'taꞌnuꞌ': 9, 'sa̱a̱': 6, 'tiꞌ': 2, 'ti̱ka̱kaꞌ': 1}"
miz,18,"{'ntaíko': 7, 'láa': 6, 'láā': 2, 'lāá': 1}"
mjc,18,{'saa': 18}
mjw,18,"{'avo': 7, 'vo': 6, 'nampi': 1, 'longbom': 1, 'marat': 1, 'apok': 1, 'cheplangtanglo': 1}"
mkd,18,"{'птици': 10, 'птиците': 5}"
mkl,18,"{'yɛi': 16, 'bɛ': 1}"
mkn,42,"{'burung': 18, 'burung-burung': 9, 'binatang': 5, 'bangke': 2, 'macam': 1, 'kandang': 1}"
mks,18,"{'laa': 14, 'táchi̱': 1, 'ri̱': 1, 'ndáchí': 1}"
mlh,18,"{'webo': 8, 'yoŋo': 3, 'youyaŋuŋ': 2, 'manesubi': 1, 'sowoo': 1, 'yukuyaŋuŋgo': 1, 'gogobi': 1, 'weboine': 1}"
mlp,18,"{'ah': 10, 'rir': 2, 'gibiyiy': 1, 'giririn': 1, 'hares': 1, 'kwanib': 1, 'tiqiy': 1}"
mlt,135,"{'jtiru': 27, 'l-għasafar': 19, 'għasfur': 14, 'ttir': 10, 'bil-ġwienaħ': 6, 'it-tjur': 6, 'għasafar': 6, 'ħliqa': 5, 'l-għasfur': 4, 't-tjur': 3, 'tajra': 3, 'mill-għasafar': 3, 'lit-tjur': 3, 'lill-għasafar': 3, 'jittajru': 2, 'il-ħlejjaq': 2, 'il-ħaj': 2, 'tjur': 2, 'mit-tjur': 1, 'it-tajra': 1, 'madwarek': 1, 'b’għasfur': 1, 'bħall-għasafar': 1, 't’għasfur': 1, 'għall-għasfur': 1, 'bit-tjur': 1, 'bħad-dwiefer': 1, 't’għasafar': 1, 'mibgħuda': 1}"
mmn,18,"{'manokmanok': 16, 'ihawen': 2}"
mmo,18,"{'manak': 11, 'dahaav': 4, 'baat': 1, 'voon-ato': 1, 'naayêênin-ato': 1}"
mmx,30,"{'lavapixa': 14, 'lapka': 3, 'pixa': 2, 'lempatpixa': 1, 'kamkabilin': 1, 'kip': 1, 'siisi': 1, 'tava': 1, 'bat': 1, 'levempixa': 1, 'teren': 1}"
mna,58,"{'man': 37, 'tirie': 3, 'ŋge': 3, 'karraŋan': 2, 'ruŋaruŋa': 1, 'manboŋ': 1, 'uunuŋan': 1, 'ŋgini': 1, 'kirie': 1, 'murin': 1}"
mnb,18,"{'lumola': 12, 'lumolano': 3, ""ka'uhi"": 3}"
mnf,18,"{'ndèa': 9, 'banɨ̧̀': 6, 'mèè': 1, 'abot': 1, 'bèa': 1}"
mnh,18,"{'menre': 13, 'men': 4}"
mnk,18,"{'kunoolu': 17, 'konta': 1}"
mnx,17,"{'ba': 9, 'len': 2, 'geigtou': 2, 'lohwin': 1, 'aremeta': 1, 'lohw': 1}"
moc,18,"{""qo'oollipi"": 5, 'ỹo': 5, ""qo'oole"": 4, ""ỹootegueri'"": 1, 'nanaic': 1, 'ỹoipi': 1, ""qo'o"": 1}"
mog,18,"{'ḷagapan': 17, 'ḷumandai': 1}"
mop,18,"{""ch'iich'i"": 13, ""ch'iich'"": 4}"
mor,18,"{'ndǝfia': 12, 'nđǝfia': 2, 'ŋǝndǝfia': 1, 'yǝđwala': 1, 'naniđǝnu': 1}"
mos,18,"{'luiili': 14, 'luiila': 1, 'kʋɩl-zẽoog': 1, 'bõn-yɩgdi': 1, 'tʋgd': 1}"
mox,18,"{'manu': 9, 'manuqa': 5, 'iʼitedi': 3}"
mpg,18,"{'aluweina': 10, 'aluwei': 2, 'kaluweina': 2, 'fifid’ina': 1, 'hazureinid’a': 1, 'amburei': 1, 'isâ': 1}"
mph,2,{'karlurri': 2}
mpm,18,"{'saa': 7, 'ndava': 2, 'kuɨtɨ': 2, 'jika': 2, 'tɨ': 1, 'kanda': 1, ""jña'an"": 1}"
mpp,10,{'nango': 10}
mps,135,"{'ba': 84, 'dabe': 19, 'bola': 3, 'hi': 2, 'kemodagego': 2, 'sibi': 1, 'dwasianu': 1, 'dabego': 1, 'tilama': 1, 'gegegi': 1, 'wiegi': 1, 'aselama': 1, 'kakaruk': 1, 'nage': 1, 'me': 1, 'bago': 1, 'bilibo': 1, 'ugwadu': 1, 'asesa': 1, 'pedelalio': 1, 'tudide': 1}"
mpt,18,"{'wani': 7, 'deito': 4, 'asal': 1, 'ole': 1, 'homoni': 1, 'tila': 1, 'eila': 1, 'inaba': 1, 'biomabiobe': 1}"
mpx,44,"{'youyou': 30, 'bwasumu': 9, 'hi': 1, 'lumlum': 1}"
mqb,18,{'məvuhom': 18}
mqj,18,"{'dassi': 17, ""meko'do'-ko'do'"": 1}"
mqy,18,"{'lélap': 16, 'kaka': 1, 'rinek': 1}"
mrg,14,"{'do:mvrtok': 8, 'pcttangkvdv:dc': 2, 'dcngo:nc': 1, 'arrc': 1, 'bikonsuto': 1, 'ongolokkcpc': 1}"
mri,135,"{'manu': 124, 'rere': 3, 'pihoihoi': 2, 'putia': 1, 'nu': 1}"
mrw,18,{'papanok': 18}
msa,18,"{'boeroeng': 14, 'onggas': 2, 'boewas': 1, 'kabentjian': 1}"
msb,18,{'sapat': 18}
msc,25,"{'kɔnɔilu': 18, 'kɔnɔ': 3, 'suu': 1, 'sensen': 1, 'duwailu': 1, 'ji': 1}"
mse,18,"{'layagina': 9, 'pii': 5, 'laygina': 2, 'layaginaɗi': 1, 'huwa': 1}"
msk,18,"{'langgam': 17, 'onod': 1}"
msm,18,"{'manuk-manuk': 17, 'ogpamanyajang': 1}"
msy,18,"{'kuaraziba': 12, 'kuarazibar': 2, 'pɨn': 1, 'kuarazibagh': 1, 'garim': 1}"
mta,18,"{'manuk': 17, 'melihi': 1}"
mtg,18,"{'maka': 9, 'mer': 5, 'utotoa': 1, 'winiraming': 1, 'kibdobmang': 1}"
mti,18,"{'nenip': 15, 'nenipawa': 2, 'yawamna': 1}"
mtj,18,"{'mem': 17, 'of': 1}"
mto,18,"{'tá̱nu̱k': 15, ""kyani'ipta"": 1, 'tá̱nu̱kta': 1, ""y'íxuvada"": 1}"
mtp,18,"{""'ajweenkyey"": 10, ""'ajweenkyeyh"": 7, ""'iwolhuupisáhi'"": 1}"
mua,18,"{'juu': 17, 'gŋ': 1}"
muh,18,"{'lu': 13, 'wü': 1, 'te-wü': 1}"
mur,18,"{'kibaali': 7, 'ceezi': 5, 'too': 2, 'karabɔŋ': 1, 'kibaalico': 1, 'kuduvaa': 1, 'kuduvaana': 1}"
mux,18,"{'!': 2, 'kerama-ni': 2, 'oku': 2, 'piring': 2, 'silimú': 1, 'ai': 1, 'kerama': 1, 'nokumba': 1, 'lopa': 1, 'pulu-yima': 1, ';': 1, 'kung': 1, 'mulúlima': 1}"
muy,18,"{'eɗiɗiŋ': 16, 'lala': 2}"
mva,18,"{'mang': 13, 'dibala': 1, 'adorakadi': 1, 'moata': 1, 'diroro': 1}"
mvn,18,"{'iyaveyaveha': 6, 'hiu': 4, 'iyaveha': 2, 'dune': 1, 'vevewana': 1, 'vioi': 1, 'nau‑nikonikoiei': 1}"
mvp,18,{'manuk-manuk': 18}
mwc,4,"{'manu': 3, 'kaidamona': 1}"
mwf,1,{'ku': 1}
mwm,135,"{'yel̄': 112, 'bɔ̄gə̄': 2, 'kɔsə': 2, 'māl̄': 1, 'kə̄njá': 1, 'əyān̄': 1, 'yelēé': 1, 'un': 1, 'etiopi': 1, 'njə̄rān̄': 1, 'm-ə́ya̰': 1, 'súĺ': 1, 'kəndān': 1, 'sa̰y': 1}"
